date,rank,id,brand,name,currency,priceNum,price,originalPriceNum,originalPrice,badge,reviewCount,link
"2026-04-21","0","1107744417","Beauty of Joseon","Relief Sun: Rice + Probiotics","KRW","19392","₩ 19,392","25856","₩ 25,856","#1","25499","https://www.yesstyle.com/en/beauty-of-joseon-relief-sun-rice-probiotics-50ml/info.html/pid.1107744417"
"2026-04-21","1","1130946339","celimax","The Vita-A Retinal Shot Tightening Booster","KRW","17307","₩ 17,307","19230","₩ 19,230","#2","9807","https://www.yesstyle.com/en/celimax-the-vita-a-retinal-shot-tightening-booster-15ml/info.html/pid.1130946339"
"2026-04-21","2","1124698946","Dr. Althea","345 Relief Cream","KRW","37087","₩ 37,087","43632","₩ 43,632","#3","23351","https://www.yesstyle.com/en/dr-althea-345-relief-cream-renewed-50ml/info.html/pid.1124698946"
"2026-04-21","3","1121503383","SKIN1004","Madagascar Centella Hyalu-Cica Water-Fit Sun Serum Twin Pack","KRW","31819","₩ 31,819","40723","₩ 40,723","#4","23440","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-twin-pack/info.html/pid.1121503383"
"2026-04-21","4","1113888108","SKIN1004","Madagascar Centella Hyalu-Cica Water-Fit Sun Serum","KRW","15352","₩ 15,352","24240","₩ 24,240","#5","29170","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-50ml/info.html/pid.1113888108"
"2026-04-21","5","1130222654","Beauty of Joseon","Relief Sun Aqua-fresh","KRW","18907","₩ 18,907","29088","₩ 29,088","#6","6311","https://www.yesstyle.com/en/beauty-of-joseon-relief-sun-aqua-fresh-50ml/info.html/pid.1130222654"
"2026-04-21","6","1124536886","APLB","Glutathione Niacinamide Sheet Mask","KRW","1568","₩ 1,568","6816","₩ 6,816","#7","10144","https://www.yesstyle.com/en/aplb-glutathione-niacinamide-sheet-mask-25ml/info.html/pid.1124536886"
"2026-04-21","7","1136616200","Arencia","Vitamin C Booster Shot","KRW","19489","₩ 19,489","21654","₩ 21,654","#8","1336","https://www.yesstyle.com/en/arencia-vitamin-c-booster-shot-30ml/info.html/pid.1136616200"
"2026-04-21","8","1129733663","Purito SEOUL","Mighty Bamboo Panthenol Cream","KRW","18277","₩ 18,277","28118","₩ 28,118","#9","15440","https://www.yesstyle.com/en/purito-seoul-mighty-bamboo-panthenol-cream-100ml/info.html/pid.1129733663"
"2026-04-21","9","1132449411","Anua","Azelaic Acid 10 Hyaluron Redness Soothing Serum","KRW","28442","₩ 28,442","32482","₩ 32,482","#10","7478","https://www.yesstyle.com/en/anua-azelaic-acid-10-hyaluron-redness-soothing-serum-30ml/info.html/pid.1132449411"
